Labels,Title,State,Date,URL,Author
,"Timeout waiting for VUART, fail to reach getty on console",closed,2016-10-25,https://github.com/openbmc/openbmc/issues/706,amboar
bug,Phosphor LED Management Daemon restarting,open,2016-10-25,https://github.com/openbmc/openbmc/issues/705,shenki
,Barreleye: Do not boot BMC if MAC address is not set instead of setting random MAC,open,2016-10-25,https://github.com/openbmc/openbmc/issues/704,anoo1
,systemd dependency missing from network recipe,closed,2016-10-24,https://github.com/openbmc/openbmc/issues/703,msbarth
,Building qemuarm image on Ubuntu 16.10 fails,open,2016-10-24,https://github.com/openbmc/openbmc/issues/702,mjturek
bug,[Barreleye build 313] Kernel broken on BARE-01,closed,2016-10-24,https://github.com/openbmc/openbmc/issues/701,gkeishin
,"[Palmetto- v1.99.0-212-gf1c10dd] : Present, fault, fru_type, is_fru and version fields are missing from some dimm",open,2016-10-24,https://github.com/openbmc/openbmc/issues/700,rahulmah
,Critical issue reported by Nessus security scanner,open,2016-10-24,https://github.com/openbmc/openbmc/issues/699,prkatti1
,Get Chassis Status cmd - Front Panel Button Capabilities and disable/enable status - need to implement parameters,open,2016-10-24,https://github.com/openbmc/openbmc/issues/698,williamli80
,Get Chassis Status cmd - Misc Chassis State - need to implement parameters,open,2016-10-24,https://github.com/openbmc/openbmc/issues/697,williamli80
,Get Chassis Status cmd - Last Power Event - need to implement parameters,open,2016-10-24,https://github.com/openbmc/openbmc/issues/696,williamli80
,Get Chassis Status cmd - Current Power State - need to implement parameters,open,2016-10-24,https://github.com/openbmc/openbmc/issues/695,williamli80
,Move to upstream IPMI BT driver,closed,2016-10-24,https://github.com/openbmc/openbmc/issues/694,shenki
,IPMI LAN cmd OEM parameters,open,2016-10-22,https://github.com/openbmc/openbmc/issues/693,williamli80
,IPMI LAN cmd parameters - Dynamic Router Info,open,2016-10-22,https://github.com/openbmc/openbmc/issues/692,williamli80
,IPMI LAN cmd parameters - RMCP+ introduced,open,2016-10-22,https://github.com/openbmc/openbmc/issues/691,williamli80
,IPMI LAN cmd parameters - Destinations related,open,2016-10-22,https://github.com/openbmc/openbmc/issues/690,williamli80
